id,user_id,user_email,input_sentence,correct_sentence,corrected_sentence,pinyin,translation,created_at,correction_html
f3db1d74-94db-4040-9816-25bde0447946,,(not logged in),他邦了,他帮我修了手机。,他<span class='diff-ins'>帮</span><span class='diff-ins'>我</span><span class='diff-del'>邦</span><span class='diff-ins'>修</span>了<span class='diff-ins'>手</span><span class='diff-ins'>机</span>。,Tā bāng wǒ xiūle shǒujī.,He helped me fix my phone.,2025-07-21T21:09:44.982332+00:00,他<span class='diff-ins'>帮</span><span class='diff-ins'>我</span><span class='diff-del'>邦</span><span class='diff-ins'>修</span>了<span class='diff-ins'>手</span><span class='diff-ins'>机</span>。
7591816a-23f6-480d-88a5-cd48547cf9c6,,(not logged in),他好了,你好吗？,<span class='diff-del'>他</span><span class='diff-ins'>你</span>好<span class='diff-del'>了</span><span class='diff-ins'>吗</span>？,Nǐ hǎo ma?,How are you?,2025-07-21T21:16:24.355066+00:00,<span class='diff-del'>他</span><span class='diff-ins'>你</span>好<span class='diff-del'>了</span><span class='diff-ins'>吗</span>？
5fc69fdc-13a7-48bf-b2b5-a39a6ae741f5,,(not logged in),你女妈.,你好吗？,你<span class='diff-del'>女</span><span class='diff-ins'>好</span><span class='diff-del'>妈</span><span class='diff-ins'>吗</span>？,Nǐ hǎo ma?,How are you?,2025-07-21T21:21:33.639209+00:00,你<span class='diff-del'>女</span><span class='diff-ins'>好</span><span class='diff-del'>妈</span><span class='diff-ins'>吗</span>？
20225c90-b000-4ad4-95c2-86f26dcfe583,,(not logged in),sdfsd,我有时间。,<span class='diff-del'>s</span><span class='diff-del'>d</span><span class='diff-ins'>我</span><span class='diff-del'>f</span><span class='diff-ins'>有</span><span class='diff-del'>s</span><span class='diff-ins'>时</span><span class='diff-del'>d</span><span class='diff-ins'>间</span>。,Wǒ yǒu shíjiān.,I have time.,2025-07-22T14:15:15.075782+00:00,<span class='diff-del'>s</span><span class='diff-del'>d</span><span class='diff-ins'>我</span><span class='diff-del'>f</span><span class='diff-ins'>有</span><span class='diff-del'>s</span><span class='diff-ins'>时</span><span class='diff-del'>d</span><span class='diff-ins'>间</span>。
64ce6730-543f-467d-8f6c-126864388a28,,(not logged in),我很忙,我很忙。,我很忙。,Wǒ hěn máng.,I am very busy.,2025-07-22T14:15:52.932579+00:00,我很忙。
de8f1b0c-74a9-4568-86b9-f9dbe9875ece,,(not logged in),我很忙,我很忙。,我很忙。,Wǒ hěn máng.,I am very busy.,2025-07-22T14:18:14.210657+00:00,我很忙。
c608291c-1394-49fb-9826-0f69cb719953,,(not logged in),我很忙,我很忙。,我很忙。,Wǒ hěn máng.,I am very busy.,2025-07-22T14:18:22.90367+00:00,我很忙。
187aef4f-029d-458a-bb76-f68e0940b1ce,,(not logged in),我很忙,我很忙。,我很忙。,Wǒ hěn máng.,I am very busy.,2025-07-22T14:20:19.865149+00:00,我很忙。
02d2cb4b-82b7-4d87-b3c3-fc2e8efb932d,,(not logged in),我很忙,我很忙。,我很忙。,Wǒ hěn máng.,I am very busy.,2025-07-22T14:20:51.394352+00:00,我很忙。
90fd57ed-f8f8-4076-b115-a1c1e85d65a2,,(not logged in),我很川一,我很忙。,我很<span class='diff-del'>川</span><span class='diff-del'>一</span><span class='diff-ins'>忙</span>。,Wǒ hěn máng.,I am very busy.,2025-07-22T14:22:27.69261+00:00,我很<span class='diff-del'>川</span><span class='diff-del'>一</span><span class='diff-ins'>忙</span>。
6a9128c6-378c-434b-b263-448dcdf12ee8,,(not logged in),我很川一,我很忙。,我很<span class='diff-del'>川</span><span class='diff-del'>一</span><span class='diff-ins'>忙</span>。,Wǒ hěn máng.,I am very busy.,2025-07-22T14:22:30.297444+00:00,我很<span class='diff-del'>川</span><span class='diff-del'>一</span><span class='diff-ins'>忙</span>。
